rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
50,10.00,+0.4,Tyquendo TRACEY,10 JUN 1993,JAM,2,,Kingston (JAM),21 JUN 2019,1206
50,10.00,0.0,Michael RODGERS,24 APR 1985,USA,2f1,,Bellinzona (SUI),01 SEP 2019,1206
54,10.01,+0.6,Yohan BLAKE,26 DEC 1989,JAM,1h1,,"Clermont, FL (USA)",05 MAY 2019,1203
54,10.01,+1.7,Yoshihide KIRYU,15 DEC 1995,JPN,2,,"Nagai Stadium, Osaka (JPN)",19 MAY 2019,1203
54,10.01,+1.9,Cravon GILLESPIE,31 JUL 1996,USA,1h5,,"Sacramento, CA (USA)",23 MAY 2019,1203
54,10.01,+0.1,Arthur CISSÉ,29 DEC 1996,CIV,1,,Praha (CZE),03 JUN 2019,1203
54,10.01,+1.3,Devin QUINN,08 JUN 1996,USA,2sf2,,"Austin, TX (USA)",05 JUN 2019,1203
54,10.01,+1.3,Joseph Paul AMOAH,12 JAN 1997,GHA,2sf2,,"Austin, TX (USA)",05 JUN 2019,1203
54,10.01,+0.9,Yohan BLAKE,26 DEC 1989,JAM,2f1,,Kingston (JAM),08 JUN 2019,1203
54,10.01,+1.3,Justin GATLIN,10 FEB 1982,USA,2,,"Paavo Nurmi, Turku (FIN)",11 JUN 2019,1203
54,10.01,+0.9,Zhenye XIE,17 AUG 1993,CHN,2,,"Bislett, Oslo (NOR)",13 JUN 2019,1203
54,10.01,+0.2,Michael RODGERS,24 APR 1985,USA,2,,"Pontaise, Lausanne (SUI)",05 JUL 2019,1203
54,10.01,+1.1,Waseem WILLIAMS,08 JAN 1997,JAM,1,,Queretaro (MEX),05 JUL 2019,1203
54,10.01,+1.1,Samson COLEBROOKE,10 MAY 1997,BAH,2,,Queretaro (MEX),05 JUL 2019,1203
54,10.01,+1.1,Mario BURKE,18 MAR 1997,BAR,3,,Queretaro (MEX),05 JUL 2019,1203
54,10.01,+1.8,Emmanuel MATADI,15 APR 1991,LBR,2f1,,"Montverde, FL (USA)",06 JUL 2019,1203
54,10.01,+0.3,Michael RODGERS,24 APR 1985,USA,3,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1203
54,10.01,-0.3,Akani SIMBINE,21 SEP 1993,RSA,1h1,,"Olympic Stadium, London (GBR)",20 JUL 2019,1204
54,10.01,-0.3,Akani SIMBINE,21 SEP 1993,RSA,1h1,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1204
54,10.01,+0.8,Akani SIMBINE,21 SEP 1993,RSA,1sf3,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1203
72,10.02,+2.0,Roberto SKYERS,12 NOV 1991,CUB,1h1,,Camagüey (CUB),22 FEB 2019,1199
72,10.02,+1.5,Paulo André CAMILO DE OLIVEIRA,20 AUG 1998,BRA,1f1,,"Azusa, CA (USA)",19 APR 2019,1199
72,10.02,+1.8,Raymond EKEVWO,23 MAR 1999,NGR,2,,"Fayetteville, AR (USA)",11 MAY 2019,1199
72,10.02,+1.9,Kemar HYMAN,11 OCT 1989,CAY,1f2,,Windsor (CAN),18 MAY 2019,1199
72,10.02,-0.3,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1,,Fukuoka (JPN),28 JUN 2019,1200
72,10.02,+1.9,Asafa POWELL,23 NOV 1982,JAM,2,,Leverkusen (GER),24 JUL 2019,1199
72,10.02,+1.4,Jimmy VICAUT,27 FEB 1992,FRA,1h1,,St-Etienne (FRA),26 JUL 2019,1199
72,10.02,+1.6,Usheoritse ITSEKIRI,31 JAN 1998,NGR,3,,"Prince Moulay Abdellah, Rabat (MAR)",27 AUG 2019,1199
80,10.03,+1.2,Demek KEMP,26 APR 1996,USA,1f1,,"Columbia, SC (USA)",13 APR 2019,1196
80,10.03,-0.9,Zharnel HUGHES,13 JUL 1995,GBR,1,,Baie Mahault (FRA),18 MAY 2019,1201
80,10.03,+1.7,Lalu Muhammad ZOHRI,01 JUL 2000,INA,3,,"Nagai Stadium, Osaka (JPN)",19 MAY 2019,1196
80,10.03,+0.8,Cravon GILLESPIE,31 JUL 1996,USA,1qf2,,"Sacramento, CA (USA)",24 MAY 2019,1196
80,10.03,+1.7,Lamont Marcell JACOBS,26 SEP 1994,ITA,1f2,,Padova (ITA),16 JUL 2019,1196
80,10.03,+0.1,Aaron BROWN,27 MAY 1992,CAN,1,,Montreal (CAN),26 JUL 2019,1196
80,10.03,+0.1,Andre DE GRASSE,10 NOV 1994,CAN,2,,Montreal (CAN),26 JUL 2019,1196
80,10.03,+0.1,Zhenye XIE,17 AUG 1993,CHN,1,,Shenyang (CHN),02 AUG 2019,1196
80,10.03,-0.3,Hassan TAFTIAN,04 MAY 1993,IRI,1f1,,"Stade Charléty, Paris (FRA)",24 AUG 2019,1197
80,10.03,+0.6,Zharnel HUGHES,13 JUL 1995,GBR,6f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1196
90,10.04,+2.0,Reynier MENA,21 NOV 1996,CUB,2h1,,Camagüey (CUB),22 FEB 2019,1193
90,10.04,+1.7,Yuki KOIKE,13 MAY 1995,JPN,4,,"Nagai Stadium, Osaka (JPN)",19 MAY 2019,1193
90,10.04,+1.3,Yoshihide KIRYU,15 DEC 1995,JPN,1h1,,Tottori (JPN),02 JUN 2019,1193
90,10.04,+0.8,Waseem WILLIAMS,08 JAN 1997,JAM,4,,"Austin, TX (USA)",07 JUN 2019,1193
90,10.04,+0.9,Michael RODGERS,24 APR 1985,USA,3,,"Bislett, Oslo (NOR)",13 JUN 2019,1193
90,10.04,-1.1,Michael RODGERS,24 APR 1985,USA,1f1,,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1199
90,10.04,+0.9,Paulo André CAMILO DE OLIVEIRA,20 AUG 1998,BRA,1,,Braga (POR),29 JUN 2019,1193
90,10.04,+0.3,Akani SIMBINE,21 SEP 1993,RSA,4,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1193
90,10.04,+0.5,Adam GEMILI,06 OCT 1993,GBR,6,,"Olympic Stadium, London (GBR)",20 JUL 2019,1193
90,10.04,+1.0,Yoshihide KIRYU,15 DEC 1995,JPN,1h2,,"Estadio Vallehermoso, Madrid (ESP)",25 AUG 2019,1193
90,10.04,-0.4,Zhenye XIE,17 AUG 1993,CHN,2,,Zürich (SUI),29 AUG 2019,1195
90,10.04,-0.1,Michael RODGERS,24 APR 1985,USA,1,,"Sports Park Mladost, Zagreb (CRO)",03 SEP 2019,1193
102,10.05,+0.5,Simon MAGAKWE,14 MAY 1986,RSA,1,,Germiston (RSA),25 APR 2019,1189
102,10.05,+1.2,Rodney ROWE,17 MAR 1997,USA,1,,"Greensboro, NC (USA)",04 MAY 2019,1189
102,10.05,+0.9,Bingtian SU,29 AUG 1989,CHN,5,,"SS, Shanghai (CHN)",18 MAY 2019,1189
102,10.05,+0.1,Yoshihide KIRYU,15 DEC 1995,JPN,1f1,,Tottori (JPN),02 JUN 2019,1189
102,10.05,+1.3,Davon DEMOSS,,USA,4sf2,,"Austin, TX (USA)",05 JUN 2019,1189
102,10.05,+0.6,Arthur CISSÉ,29 DEC 1996,CIV,1,,"Blankers-Koen Stadion, Hengelo (NED)",09 JUN 2019,1189
102,10.05,-1.1,Andre DE GRASSE,10 NOV 1994,CAN,2f1,,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1195
102,10.05,+0.6,Yohan BLAKE,26 DEC 1989,JAM,1sf2,,Kingston (JAM),21 JUN 2019,1189
102,10.05,+0.1,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1sf2,,Fukuoka (JPN),27 JUN 2019,1189
102,10.05,-0.1,Cravon GILLESPIE,31 JUL 1996,USA,4,,"Palo Alto, CA (USA)",30 JUN 2019,1189
102,10.05,+1.8,Christopher BELCHER,29 JAN 1994,USA,3f1,,"Montverde, FL (USA)",06 JUL 2019,1189
102,10.05,+0.2,Isiah YOUNG,05 JAN 1990,USA,1h1,,"Montverde, FL (USA)",06 JUL 2019,1189
102,10.05,-0.4,Andre DE GRASSE,10 NOV 1994,CAN,2h2,,"Olympic Stadium, London (GBR)",20 JUL 2019,1191
102,10.05,+0.9,Yoshihide KIRYU,15 DEC 1995,JPN,1,,Fukui (JPN),17 AUG 2019,1189
102,10.05,+1.6,Jimmy VICAUT,27 FEB 1992,FRA,2,,"Estadio Vallehermoso, Madrid (ESP)",25 AUG 2019,1189
102,10.05,+1.6,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,3,,"Estadio Vallehermoso, Madrid (ESP)",25 AUG 2019,1189
102,10.05,+0.8,Zharnel HUGHES,13 JUL 1995,GBR,2sf3,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1189
119,10.06,+1.0,Reynier MENA,21 NOV 1996,CUB,2f1,,Camagüey (CUB),22 FEB 2019,1186
119,10.06,+1.8,Simon MAGAKWE,14 MAY 1986,RSA,1,,Cape Town (RSA),23 MAR 2019,1186
119,10.06,+0.1,Simon MAGAKWE,14 MAY 1986,RSA,1f3,,Bloemfontein (RSA),13 APR 2019,1186
119,10.06,+0.8,Andre EWERS,07 JUN 1995,JAM,1,,"Charlottesville, VA (USA)",11 MAY 2019,1186
119,10.06,+1.1,Divine ODUDURU,07 OCT 1996,NGR,1qf3,,"Sacramento, CA (USA)",24 MAY 2019,1186
119,10.06,+0.8,Bryand RINCHER,,USA,5,,"Austin, TX (USA)",07 JUN 2019,1186
119,10.06,+0.8,Mario BURKE,18 MAR 1997,BAR,6,,"Austin, TX (USA)",07 JUN 2019,1186
119,10.06,0.0,Michael RODGERS,24 APR 1985,USA,1,,Chorzów (POL),16 JUN 2019,1186
119,10.06,-1.1,Zhenye XIE,17 AUG 1993,CHN,3f1,,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1192
119,10.06,+0.6,Waseem WILLIAMS,08 JAN 1997,JAM,2sf2,,Kingston (JAM),21 JUN 2019,1186
119,10.06,-0.3,Akani SIMBINE,21 SEP 1993,RSA,1,,Luzern (SUI),09 JUL 2019,1187
119,10.06,-0.3,Yohan BLAKE,26 DEC 1989,JAM,2h1,,"Olympic Stadium, London (GBR)",20 JUL 2019,1187
119,10.06,+1.4,Tyquendo TRACEY,10 JUN 1993,JAM,3,,"Olympiastadion, Berlin (GER)",01 SEP 2019,1186
119,10.06,-0.8,Justin GATLIN,10 FEB 1982,USA,1h2,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1190
133,10.07,+0.1,Jimmy VICAUT,27 FEB 1992,FRA,2,,Praha (CZE),03 JUN 2019,1182
133,10.07,+1.9,Reynier MENA,21 NOV 1996,CUB,1f1,,La Habana (CUB),07 JUN 2019,1182
133,10.07,+1.7,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1f1,,Rehlingen (GER),09 JUN 2019,1182
133,10.07,+0.1,Cejhae GREENE,06 OCT 1995,ANT,1f1,,La Chaux-de-Fonds (SUI),30 JUN 2019,1182
133,10.07,+0.2,Aaron BROWN,27 MAY 1992,CAN,3,,"Pontaise, Lausanne (SUI)",05 JUL 2019,1182
133,10.07,-0.3,Adam GEMILI,06 OCT 1993,GBR,3h1,,"Olympic Stadium, London (GBR)",20 JUL 2019,1183
133,10.07,+0.5,Jimmy VICAUT,27 FEB 1992,FRA,1h1,,Bydgoszcz (POL),09 AUG 2019,1182
133,10.07,+2.0,Yohan BLAKE,26 DEC 1989,JAM,1,,Birmingham (GBR),18 AUG 2019,1182
133,10.07,+2.0,Adam GEMILI,06 OCT 1993,GBR,2,,Birmingham (GBR),18 AUG 2019,1182
133,10.07,+1.0,Michael RODGERS,24 APR 1985,USA,2h2,,"Estadio Vallehermoso, Madrid (ESP)",25 AUG 2019,1182
133,10.07,-0.4,Yohan BLAKE,26 DEC 1989,JAM,3,,Zürich (SUI),29 AUG 2019,1184
133,10.07,+1.6,Vitor Hugo DOS SANTOS,01 FEB 1996,BRA,1h2,,"National Training Centre, Bragança Paulista (BRA)",29 AUG 2019,1182
133,10.07,-0.3,Yohan BLAKE,26 DEC 1989,JAM,1h4,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1183
133,10.07,+0.1,Lamont Marcell JACOBS,26 SEP 1994,ITA,2h6,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1182
133,10.07,+0.6,Filippo TORTU,15 JUN 1998,ITA,7f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1182
133,10.07,-0.1,Andre DE GRASSE,10 NOV 1994,CAN,1sf2,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1182
149,10.08,+2.0,Yoshihide KIRYU,15 DEC 1995,JPN,1f1,,Brisbane (AUS),23 MAR 2019,1179
149,10.08,+2.0,Rohan BROWNING,31 DEC 1997,AUS,2f1,,Brisbane (AUS),23 MAR 2019,1179
149,10.08,+1.8,Mustaqeem WILLIAMS,24 AUG 1995,USA,3,,"Fayetteville, AR (USA)",11 MAY 2019,1179
149,10.08,+0.9,Mario BURKE,18 MAR 1997,BAR,1qf1,,"Sacramento, CA (USA)",24 MAY 2019,1179
149,10.08,-1.1,Akani SIMBINE,21 SEP 1993,RSA,4f1,,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1185
149,10.08,-0.1,Michael RODGERS,24 APR 1985,USA,5,,"Palo Alto, CA (USA)",30 JUN 2019,1179
149,10.08,+0.1,Alex WILSON,19 SEP 1990,SUI,2f1,,La Chaux-de-Fonds (SUI),30 JUN 2019,1179
149,10.08,+0.2,Arthur CISSÉ,29 DEC 1996,CIV,4,,"Pontaise, Lausanne (SUI)",05 JUL 2019,1179
149,10.08,+0.9,Thando DLODLO,22 APR 1999,RSA,1,,Trieste (ITA),06 JUL 2019,1179
149,10.08,+1.9,Ojie EDOBURUN,02 JUN 1996,GBR,3,,Leverkusen (GER),24 JUL 2019,1179
149,10.08,+0.1,Arthur CISSÉ,29 DEC 1996,CIV,1h1,,Leverkusen (GER),24 JUL 2019,1179
149,10.08,-1.1,Marvin POPOOLA,05 SEP 1995,GBR,1h3,,Manchester (GBR),27 JUL 2019,1185
149,10.08,+1.2,Samuel GORDON,05 OCT 1994,GBR,7,,Manchester (GBR),14 AUG 2019,1179
149,10.08,+0.7,Adam GEMILI,06 OCT 1993,GBR,1h1,,Birmingham (GBR),18 AUG 2019,1179
149,10.08,+1.6,Yoshihide KIRYU,15 DEC 1995,JPN,4,,"Estadio Vallehermoso, Madrid (ESP)",25 AUG 2019,1179
149,10.08,-0.4,Justin GATLIN,10 FEB 1982,USA,4,,Zürich (SUI),29 AUG 2019,1181
149,10.08,+1.4,Aaron BROWN,27 MAY 1992,CAN,4,,"Olympiastadion, Berlin (GER)",01 SEP 2019,1179
149,10.08,-0.8,Zharnel HUGHES,13 JUL 1995,GBR,1h3,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1183
149,10.08,-0.3,Jimmy VICAUT,27 FEB 1992,FRA,2h4,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1180
149,10.08,+0.6,Aaron BROWN,27 MAY 1992,CAN,8f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1179
169,10.09,+1.9,Hassan TAFTIAN,04 MAY 1993,IRI,1,,Tehran (IRI),25 MAR 2019,1176
169,10.09,+1.5,Raheem CHAMBERS,06 OCT 1997,JAM,1h3,,"Charlottesville, VA (USA)",10 MAY 2019,1176
169,10.09,+0.9,Zhenye XIE,17 AUG 1993,CHN,6,,"SS, Shanghai (CHN)",18 MAY 2019,1176
169,10.09,+0.2,Michael RODGERS,24 APR 1985,USA,1,,"Olympic Stadium, Nanjing (CHN)",21 MAY 2019,1176
169,10.09,+0.2,Andre DE GRASSE,10 NOV 1994,CAN,2,,"Olympic Stadium, Nanjing (CHN)",21 MAY 2019,1176
169,10.09,+1.3,McKinley WEST,,USA,5sf2,,"Austin, TX (USA)",05 JUN 2019,1176
169,10.09,+0.2,Yuki KOIKE,13 MAY 1995,JPN,1sf1,,Fukuoka (JPN),27 JUN 2019,1176
169,10.09,+0.4,Paulo André CAMILO DE OLIVEIRA,20 AUG 1998,BRA,1h3,,Braga (POR),29 JUN 2019,1176
169,10.09,-0.1,Paulo André CAMILO DE OLIVEIRA,20 AUG 1998,BRA,1,,Napoli (ITA),09 JUL 2019,1176
169,10.09,-0.3,Yuki KOIKE,13 MAY 1995,JPN,4h1,,"Olympic Stadium, London (GBR)",20 JUL 2019,1177
169,10.09,-0.5,Zhenye XIE,17 AUG 1993,CHN,1h1,,Shenyang (CHN),02 AUG 2019,1179
169,10.09,-0.5,Michael RODGERS,24 APR 1985,USA,1,,Lima (PER),07 AUG 2019,1179
169,10.09,+1.6,Lamont Marcell JACOBS,26 SEP 1994,ITA,1h2,,Bydgoszcz (POL),09 AUG 2019,1176
169,10.09,+2.0,Michael RODGERS,24 APR 1985,USA,3,,Birmingham (GBR),18 AUG 2019,1176
169,10.09,+0.7,Christopher BELCHER,29 JAN 1994,USA,2h1,,Birmingham (GBR),18 AUG 2019,1176
169,10.09,+0.1,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,3h6,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1176
169,10.09,-0.1,Yohan BLAKE,26 DEC 1989,JAM,2sf2,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1176
169,10.09,-0.1,Justin GATLIN,10 FEB 1982,USA,3sf2,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1176
187,10.10,+0.9,Rodney ROWE,17 MAR 1997,USA,1,,"Greensboro, NC (USA)",12 APR 2019,1172
187,10.10,+1.5,Yoshihide KIRYU,15 DEC 1995,JPN,1,,Doha (QAT),22 APR 2019,1172
187,10.10,+1.8,Kemar HYMAN,11 OCT 1989,CAY,1f2,,"Gainesville, FL (USA)",27 APR 2019,1172
187,10.10,+0.3,Kendal WILLIAMS,23 SEP 1995,USA,2f1,,"Clermont, FL (USA)",05 MAY 2019,1172
187,10.10,0.0,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1h2,,"Fayetteville, AR (USA)",10 MAY 2019,1172
187,10.10,+0.8,Raheem CHAMBERS,06 OCT 1997,JAM,2,,"Charlottesville, VA (USA)",11 MAY 2019,1172
187,10.10,+1.2,Cravon GILLESPIE,31 JUL 1996,USA,1h3,,"Tucson, AZ (USA)",11 MAY 2019,1172
187,10.10,+1.2,Joseph Paul AMOAH,12 JAN 1997,GHA,1qf1,,"Jacksonville, FL (USA)",24 MAY 2019,1172
187,10.10,+0.9,Filippo TORTU,15 JUN 1998,ITA,4,,"Bislett, Oslo (NOR)",13 JUN 2019,1172
187,10.10,+0.4,Rasheed DWYER,29 JAN 1989,JAM,3,,Kingston (JAM),21 JUN 2019,1172
187,10.10,-0.8,Jimmy VICAUT,27 FEB 1992,FRA,1h2,,Marseille (FRA),02 JUL 2019,1176
187,10.10,+0.9,Lamont Marcell JACOBS,26 SEP 1994,ITA,2,,Trieste (ITA),06 JUL 2019,1172
187,10.10,+1.1,Ameer WEBB,19 MAR 1991,USA,1,,"Phoenix, AZ (USA)",10 JUL 2019,1172
187,10.10,+1.7,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,,Bressanone (ITA),27 JUL 2019,1172
187,10.10,0.0,Rodrigo DO NASCIMENTO,26 SEP 1994,BRA,1,,Sao Paulo (BRA),18 AUG 2019,1172
187,10.10,-0.4,Akani SIMBINE,21 SEP 1993,RSA,5,,Zürich (SUI),29 AUG 2019,1174
203,10.11,+0.4,Adam GEMILI,06 OCT 1993,GBR,1f1,,St. George's (GRN),13 APR 2019,1169
203,10.11,+0.8,Cravon GILLESPIE,31 JUL 1996,USA,1f1,,"Tucson, AZ (USA)",27 APR 2019,1169
203,10.11,+1.8,Keitavious WALTER,16 APR 1996,USA,4,,"Fayetteville, AR (USA)",11 MAY 2019,1169
203,10.11,0.0,Divine ODUDURU,07 OCT 1996,NGR,1h1,,"Norman, OK (USA)",11 MAY 2019,1169
203,10.11,+1.5,Devin QUINN,08 JUN 1996,USA,1,,"Iowa City, IA (USA)",12 MAY 2019,1169
203,10.11,+1.7,Ryota YAMAGATA,10 JUN 1992,JPN,5,,"Nagai Stadium, Osaka (JPN)",19 MAY 2019,1169
203,10.11,+1.2,Waseem WILLIAMS,08 JAN 1997,JAM,2qf1,,"Jacksonville, FL (USA)",24 MAY 2019,1169
203,10.11,-0.1,Andre DE GRASSE,10 NOV 1994,CAN,1f1,,Taipei (TPE),25 MAY 2019,1169
203,10.11,+1.7,Rodrigo DO NASCIMENTO,26 SEP 1994,BRA,2f1,,Rehlingen (GER),09 JUN 2019,1169
203,10.11,+1.7,Seye OGUNLEWE,30 AUG 1991,NGR,3f1,,Rehlingen (GER),09 JUN 2019,1169
203,10.11,+1.0,Harry AIKINES-ARYEETEY,29 AUG 1988,GBR,1sr,,Berlin (GER),22 JUN 2019,1169
203,10.11,+0.2,Christopher BELCHER,29 JAN 1994,USA,2h1,,"Montverde, FL (USA)",06 JUL 2019,1169
